symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2026-07-01 16:10:00+00:00,295.49,295.67,295.13,295.28,233792.0,10190.0,295.384598
AAPL,2026-07-01 16:15:00+00:00,295.27,295.32,294.92,295.23,225273.0,10058.0,295.142397
AAPL,2026-07-01 16:20:00+00:00,295.24,295.37,295.09,295.27,198485.0,9474.0,295.218246
AAPL,2026-07-01 16:25:00+00:00,295.27,295.465,294.93,294.945,243279.0,6294.0,295.275045
AAPL,2026-07-01 16:30:00+00:00,294.945,295.0599,294.2701,294.45,301203.0,6379.0,294.625134
AAPL,2026-07-01 16:35:00+00:00,294.4599,294.755,294.36,294.5325,265340.0,5681.0,294.531886
AAPL,2026-07-01 16:40:00+00:00,294.535,294.71,294.33,294.6,219977.0,5214.0,294.502327
AAPL,2026-07-01 16:45:00+00:00,294.6,294.69,294.39,294.47,196294.0,5039.0,294.520027
AAPL,2026-07-01 16:50:00+00:00,294.48,294.85,294.37,294.5512,237862.0,5579.0,294.586493
AAPL,2026-07-01 16:55:00+00:00,294.58,294.58,294.11,294.23,543385.0,6450.0,294.340473
AAPL,2026-07-01 17:00:00+00:00,294.23,294.36,293.92,294.095,383408.0,8045.0,294.148953
AAPL,2026-07-01 17:05:00+00:00,294.09,294.61,293.92,294.325,425019.0,7442.0,294.282751
AAPL,2026-07-01 17:10:00+00:00,294.32,294.45,293.97,294.445,252798.0,6125.0,294.187504
AAPL,2026-07-01 17:15:00+00:00,294.445,294.445,293.98,293.99,242710.0,5584.0,294.142901
AAPL,2026-07-01 17:20:00+00:00,294.0,294.42,293.93,294.155,248761.0,5607.0,294.155497
AAPL,2026-07-01 17:25:00+00:00,294.155,294.25,293.97,294.09,255546.0,5186.0,294.126378
AAPL,2026-07-01 17:30:00+00:00,294.08,294.23,293.92,294.22,235986.0,5603.0,294.061908
AAPL,2026-07-01 17:35:00+00:00,294.22,294.6,294.14,294.32,230430.0,5458.0,294.36842
AAPL,2026-07-01 17:40:00+00:00,294.3199,294.43,294.07,294.105,194674.0,4648.0,294.243134
AAPL,2026-07-01 17:45:00+00:00,294.11,294.34,293.96,294.2,243244.0,5197.0,294.120763
AAPL,2026-07-01 17:50:00+00:00,294.22,294.99,294.035,294.935,355997.0,7061.0,294.502717
AAPL,2026-07-01 17:55:00+00:00,294.9396,294.9396,293.11,293.715,1413909.0,21367.0,293.852654
AAPL,2026-07-01 18:00:00+00:00,293.725,294.19,292.7,293.585,662322.0,10983.0,293.454957
AAPL,2026-07-01 18:05:00+00:00,293.585,294.84,292.92,294.615,691519.0,14563.0,293.884882
AAPL,2026-07-01 18:10:00+00:00,294.62,294.78,294.32,294.56,486466.0,7250.0,294.557487
AAPL,2026-07-01 18:15:00+00:00,294.565,295.1,294.315,295.005,373952.0,6604.0,294.645077
AAPL,2026-07-01 18:20:00+00:00,295.01,295.05,294.5001,294.56,306345.0,6331.0,294.765824
AAPL,2026-07-01 18:25:00+00:00,294.565,294.98,294.51,294.805,313597.0,6161.0,294.711691
AAPL,2026-07-01 18:30:00+00:00,294.8,295.2,294.78,294.965,392071.0,7752.0,295.020471
AAPL,2026-07-01 18:35:00+00:00,294.96,295.22,294.72,294.88,315677.0,6182.0,294.971609
AAPL,2026-07-01 18:40:00+00:00,294.88,295.53,294.88,295.37,451789.0,7357.0,295.262481
AAPL,2026-07-01 18:45:00+00:00,295.355,295.46,295.15,295.37,402538.0,7564.0,295.303245
AAPL,2026-07-01 18:50:00+00:00,295.37,295.41,294.93,294.965,351678.0,7558.0,295.112342
AAPL,2026-07-01 18:55:00+00:00,294.965,295.19,294.66,294.72,278898.0,6146.0,294.951318
AAPL,2026-07-01 19:00:00+00:00,294.73,294.89,294.58,294.7,263305.0,5467.0,294.731512
AAPL,2026-07-01 19:05:00+00:00,294.72,294.94,294.4201,294.49,408413.0,6687.0,294.72209
AAPL,2026-07-01 19:10:00+00:00,294.48,294.7,294.42,294.565,317379.0,5864.0,294.533565
AAPL,2026-07-01 19:15:00+00:00,294.57,294.8397,294.49,294.59,300697.0,6248.0,294.667401
AAPL,2026-07-01 19:20:00+00:00,294.59,294.63,294.16,294.455,468682.0,7748.0,294.40347
AAPL,2026-07-01 19:25:00+00:00,294.43,294.47,294.0,294.0151,459545.0,8255.0,294.203749
AAPL,2026-07-01 19:30:00+00:00,294.0,294.34,293.95,294.02,582235.0,10251.0,294.025047
AAPL,2026-07-01 19:35:00+00:00,294.012,294.35,293.99,294.24,396381.0,8299.0,294.153725
AAPL,2026-07-01 19:40:00+00:00,294.24,294.31,294.0,294.21,532839.0,9618.0,294.139911
AAPL,2026-07-01 19:45:00+00:00,294.21,294.37,293.76,293.88,626492.0,10894.0,294.092386
AAPL,2026-07-01 19:50:00+00:00,293.92,295.55,293.7501,294.67,1181551.0,24003.0,294.220021
AAPL,2026-07-01 19:55:00+00:00,294.686,295.33,294.03,294.25,2914178.0,53006.0,294.509934
AAPL,2026-07-01 20:00:00+00:00,294.35,294.75,293.5956,293.71,10203319.0,711.0,294.379085
AAPL,2026-07-01 20:05:00+00:00,293.82,294.38,293.43,294.32,54150.0,566.0,293.761982
AAPL,2026-07-01 20:10:00+00:00,294.35,294.38,293.8,294.2047,39774.0,169.0,294.359819
AAPL,2026-07-01 20:15:00+00:00,294.25,294.25,293.97,294.2,943158.0,252.0,294.196269
AAPL,2026-07-01 20:20:00+00:00,294.12,294.25,294.0029,294.0029,8254.0,144.0,294.180891
AAPL,2026-07-01 20:25:00+00:00,294.25,294.25,293.94,294.25,1956.0,77.0,294.102817
AAPL,2026-07-01 20:30:00+00:00,294.0,294.38,293.79,294.38,100094.0,115.0,294.330946
AAPL,2026-07-01 20:35:00+00:00,293.9,294.1,293.79,294.1,5566.0,107.0,293.953635
AAPL,2026-07-01 20:40:00+00:00,294.38,294.38,293.9442,293.9442,1034.0,39.0,294.183337
AAPL,2026-07-01 20:45:00+00:00,294.0,294.23,293.9999,294.08,1026.0,44.0,294.104854
AAPL,2026-07-01 20:50:00+00:00,294.03,294.03,293.87,294.0,1487.0,34.0,294.005144
AAPL,2026-07-01 20:55:00+00:00,294.02,294.17,293.94,294.16,4326.0,115.0,294.058511
AAPL,2026-07-01 21:00:00+00:00,294.16,294.2,294.1,294.2,2518.0,67.0,294.168479
